ad_slot_id,ctr,count
2618977706,1,1
3040551886,1,1
1259575627,1,1
2405882195,1,1
623536918,1,1
3571550058,1,1
857213277,1,1
mm_25531301_2394807_9334031,1,1
631957245,1,1
3488704425,1,1
450646031,1,1
1450381909,1,1
3057320763,1,1
1092604695,1,1
3310850695,1,1
1269921744,1,1
2217062668,1,1
564361992,1,1
644353066,1,1
2585359399,1,1
2427123630,1,1
2912376706,1,1
577557838,1,1
3487080107,1,1
3722514680,1,1
922384127,1,1
2634969946,1,1
2315598961,1,1
905328854,0.5,2
1158999440,0.5,2
4083996485,0.5,2
2365023364,0.5,2
3280786731,0.5,2
3848306734,0.5,2
652515438,0.5,2
585449695,0.5,2
242344234,0.333333,3
3125437875,0.333333,3
3062123795,0.333333,3
46423077,0.25,4
1837983964,0.2,5
3243002415,0.2,5
664136894,0.2,5
2439239290,0.2,5
1542313544,0.181818,11
356860146,0.166667,6
3387123695,0.166667,6
3953873113,0.142857,7
mm_34570706_3456765_11235475,0.142857,7
1593728148,0.142857,7
2738509907,0.142857,7
755389366,0.125,8
2137970336,0.125,8
1590601335,0.125,8
1837674467,0.125,8
1425606725,0.111111,9
3553979247,0.111111,9
3565372821,0.111111,9
551254377,0.111111,9
2333277185,0.111111,9
2568192890,0.111111,9
3217546184,0.111111,9
3758755280,0.1,10
336725397,0.1,10
2661088483,0.1,10
mm_10935373_3494985_11453180,0.0909091,33
2357631559,0.0909091,11
645297387,0.0869565,23
2488260196,0.0833333,12
678076080,0.0769231,13
499234913,0.0769231,13
mm_13704410_2098446_11312818,0.0769231,13
2186074490,0.0769231,13
3465904480,0.0740741,27
Book_DT_Width2,0.0714286,14
484834729,0.0714286,14
194104939,0.0714286,14
3567920734,0.0666667,15
3112779582,0.0666667,15
2149586312,0.0666667,15
524013696,0.0625,16
1740379820,0.0625,16
3419721381,0.0625,16
1752564149,0.0588235,17
1566897766,0.0588235,17
529883953,0.0555556,18
956944480,0.0526316,19
2996520751,0.0526316,19
78261009,0.0526316,19
2201724547,0.0526316,19
mm_31645524_3231658_11018837,0.0516899,503
398271494,0.05,20
mm_14172996_2204748_11231779,0.0471204,191
1110259237,0.0465116,43
91992836,0.0434783,23
2106215101,0.0416667,24
mm_17985468_2419255_9381648,0.0416667,24
mm_29780236_2570649_11189658,0.0416667,48
2811272552,0.0416667,24
3333455916,0.04,25
507519964,0.0384615,26
878234456,0.0384615,26
1819031270,0.0384615,26
605577546,0.0377358,53
635251406,0.037037,27
3418513683,0.037037,27
mm_29762794_2649722_9668685,0.037037,27
1593856024,0.0357143,28
2720460309,0.0357143,28
mm_32962370_3374856_10889174,0.0350877,57
3459121193,0.0344828,29
3057629786,0.0344828,29
3157936734,0.0333333,30
552362140,0.0333333,30
3583000427,0.0333333,30
3116245816,0.0322581,31
mm_32360911_3244267_11031966,0.03125,32
3341030490,0.03125,32
mm_10012196_2209563_9284411,0.031185,481
356219913,0.030303,33
mm_10006435_107390_10067088,0.0287958,764
mm_10006435_106897_10197726,0.0280899,356
3317061276,0.0277778,36
4197627657,0.0277778,36
1581498369,0.0277778,36
2731933616,0.0277778,36
102061685,0.0277778,36
mm_35659784_3480660_11351854,0.0271003,369
3857707721,0.027027,37
92049358,0.027027,37
3130792311,0.027027,37
discuz_16148968_001,0.025641,39
3362013130,0.025641,39
3832662137,0.025,40
mm_30061980_2651856_10944506,0.025,40
mm_28110653_2418111_9292826,0.0242991,535
1439190952,0.0232558,43
4019636701,0.0229885,87
387596072,0.0229008,131
61046278,0.0227273,44
1460861825,0.0222222,45
3666227081,0.0217391,46
mm_32702357_3318903_10792513,0.0212766,47
1898968593,0.0212766,47
1319196780,0.0212766,47
